year,CO2
1900,295.8
1901,296.125
1902,296.475
1903,296.825
1904,297.2
1905,297.625
1906,298.075
1907,298.5
1908,298.9
1909,299.3
1910,299.7
1911,300.075
1912,300.425
1913,300.775
1914,301.1
1915,301.4
1916,301.725
1917,302.075
1918,302.4
1919,302.7
1920,303.025
1921,303.4
1922,303.775
1923,304.125
1924,304.525
1925,304.975
1926,305.4
1927,305.825
1928,306.3
1929,306.775
1930,307.225
1931,307.7
1932,308.175
1933,308.6
1934,309
1935,309.4
1936,309.75
1937,310
1938,310.175
1939,310.3
1940,310.375
1941,310.375
1942,310.3
1943,310.2
1944,310.125
1945,310.1
1946,310.125
1947,310.2
1948,310.325
1949,310.5
1950,310.75
1951,311.1
1952,311.5
1953,311.925
1954,312.425
1955,313
1956,313.6
1957,314.225
1958,314.8475
1959,315.5
1960,316.2725
1961,317.075
1962,317.795
1963,318.3975
1964,318.925
1965,319.6475
1966,320.6475
1967,321.605
1968,322.635
1969,323.9025
1970,324.985
1971,325.855
1972,327.14
1973,328.6775
1974,329.7425
1975,330.585
1976,331.7475
1977,333.2725
1978,334.8475
1979,336.525
1980,338.36
1981,339.7275
1982,340.7925
1983,342.1975
1984,343.7825
1985,345.2825
1986,346.7975
1987,348.645
1988,350.7375
1989,352.4875
1990,353.855
1991,355.0175
1992,355.885
1993,356.7775
1994,358.1275
1995,359.8375
1996,361.4625
1997,363.155
1998,365.3225
1999,367.3475
2000,368.865
2001,370.4675
2002,372.5225
2003,374.76
2004,376.8125
2005,378.8125
2006,380.8275
2007,382.7775
2008,384.8
2009,387.0123
2010,389.3242
2011,391.638
2012,394.0087
2013,396.4638
2014,399.004
2015,401.6279
2016,404.3282
2017,407.0959
2018,409.927
2019,412.8215
2020,415.7802
2021,418.7963
2022,421.8644
2023,424.9947
2024,428.1973
2025,431.4747
2026,434.8262
2027,438.2446
2028,441.7208
2029,445.2509
2030,448.8349
2031,452.4736
2032,456.177
2033,459.964
2034,463.8518
2035,467.85
2036,471.9605
2037,476.1824
2038,480.508
2039,484.9272
2040,489.4355
2041,494.0324
2042,498.7297
2043,503.5296
2044,508.4327
2045,513.4561
2046,518.6106
2047,523.9001
2048,529.3242
2049,534.8752
2050,540.5428
2051,546.322
2052,552.2119
2053,558.2122
2054,564.3131
2055,570.5167
2056,576.8434
2057,583.3047
2058,589.9054
2059,596.6466
2060,603.5205
2061,610.5165
2062,617.6053
2063,624.7637
2064,631.9947
2065,639.2905
2066,646.6527
2067,654.0984
2068,661.6449
2069,669.3047
2070,677.0776
2071,684.9543
2072,692.902
2073,700.8942
2074,708.9316
2075,717.0155
2076,725.136
2077,733.3067
2078,741.5237
2079,749.8047
2080,758.1823
2081,766.6445
2082,775.1745
2083,783.7514
2084,792.3658
2085,801.0188
2086,809.7146
2087,818.4221
2088,827.1572
2089,835.9559
2090,844.8047
2091,853.7254
2092,862.726
2093,871.7768
2094,880.8644
2095,889.9816
2096,899.1241
2097,908.2887
2098,917.4714
2099,926.6653
2100,935.8744
